id;delayed_date
988730;1673038020.0
988730;1673642820.0
988730;1674247620.0
988730;1674852420.0
988006;1673039520.0
988006;1674680640.0
988006;1674853920.0
988004;1673555760.0
988004;1672691760.0
988004;1672778160.0
988004;1672950960.0
988004;1673382960.0
988004;1673469360.0
988004;1674506160.0
988004;1674678960.0
988004;1674765360.0
963702;1672647780.0
963702;1672734180.0
963702;1672820580.0
963702;1672906980.0
963702;1672993380.0
963702;1673252580.0
963702;1673338980.0
963702;1673425380.0
963702;1673511780.0
963702;1673598180.0
963702;1673857380.0
963702;1673943780.0
963702;1674030180.0
963702;1674462180.0
963702;1674548580.0
963702;1674634980.0
963702;1674721380.0
963702;1674807780.0
963702;1675066980.0
960125;1675194480.0
960115;1673108400.0
960115;1673713200.0
960115;1674318000.0
960115;1674922800.0
960105;1674463500.0
960105;1674721200.0
960013;1675024560.0
960011;1674501180.0
960011;1672686780.0
960011;1672773180.0
960011;1672859580.0
960011;1673464380.0
960011;1673550780.0
960011;1673982780.0
960011;1674587580.0
960011;1674760380.0
960011;1675105980.0
960005;1674741300.0
960001;1674206220.0
959802;1674200040.0
959668;1673960160.0
959668;1672923540.0
959668;1673355540.0
959668;1672664340.0
959668;1672750740.0
959668;1672837140.0
959668;1673009940.0
959668;1673269140.0
959668;1673441940.0
959668;1673528340.0
959668;1673614740.0
959668;1674046740.0
959668;1674478740.0
959668;1674565140.0
959668;1674651540.0
959668;1674824340.0
959668;1675083540.0
959666;1672568940.0
959666;1673173740.0
959666;1674988140.0
959662;1674329880.0
959654;1672646700.0
959654;1672992300.0
959654;1673251500.0
959654;1673597100.0
959654;1674461100.0
959654;1675065900.0
959654;1672820400.0
959654;1673078640.0
959654;1673381520.0
959654;1673467920.0
959654;1673986320.0
959654;1674030060.0
959654;1674288240.0
959654;1674720480.0
959654;1674893040.0
959652;1672749480.0
959652;1672835880.0
959652;1672922280.0
959652;1673354280.0
959652;1673440680.0
959652;1673527080.0
959652;1673959080.0
959652;1674045480.0
959652;1674650280.0
959652;1674555660.0
959431;1674505260.0
959431;1672689720.0
959431;1673985720.0
959431;1674244920.0
959431;1674850140.0
959429;1674068340.0
959429;1674846660.0
959409;1674205500.0
959409;1672650240.0
959409;1672736880.0
959409;1672823280.0
959409;1672909680.0
959409;1672995960.0
959409;1673255040.0
959409;1673428080.0
959409;1673514480.0
959409;1673859840.0
959409;1674032880.0
959409;1674464640.0
959409;1674551280.0
959409;1674810300.0
959409;1675069440.0
959407;1674633840.0
959407;1674720240.0
959407;1674806640.0
959405;1673852880.0
959405;1674457680.0
959296;1674933420.0
959296;1673119020.0
959296;1673723820.0
959296;1674328620.0
959288;1673695800.0
959288;1673091000.0
959288;1674300600.0
959288;1674905400.0
959262;1674822180.0
959256;1673859060.0
959256;1674204660.0
959256;1675068660.0
959256;1672649460.0
959256;1672822260.0
959256;1672908660.0
959256;1672995060.0
959256;1673254260.0
959256;1673340660.0
